Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,
,,,,,,,,,,,,
"Effective July 1, 2026 through September 30, 2026",,,,,,,,,,,,
,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q26 ASP data.,,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
J0586,Abobotulinumtoxina,5 Unit,8.946,20.000,,,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,13.287,20.000,,,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.285,20.000,,,,,,,,
J0589,Inj daxibotulinumtoxina-lanm,1 UNIT,3.067,20.000,,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.474,20.000,,,,,,,,
J0593,"Inj., lanadelumab-flyo, 1 mg",1 mg,88.216,20.000,,,,,,,,
J0594,Busulfan injection,1 MG,1.033,20.000,,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,10.508,20.000,,,,,,,,
J0596,"Injection, ruconest",10 UNITS,37.832,19.885,,,,,,Inflation-adjusted coinsurance,,
J0597,"C-1 esterase, berinert",10 UNITS,79.262,18.038,,,,,,Inflation-adjusted coinsurance,,
J0598,"C-1 esterase, cinryze",10 UNITS,66.753,20.000,,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,6189.487,20.000,,,,,,,,
J0612,"Inj, calcium gluconate, nos",10 MG,0.027,20.000,,,,,,,,
J0613,Calcium glucon (wg critical),10 MG,0.050,20.000,,,,,,,,
J0614,"Inj, treosulfan, 50 mg",50 MG,32.330,20.000,,,,,,,,
J0616,Inj metoprolol tartrate 1 mg,1 MG,0.155,20.000,,,,,,,,
J0637,Caspofungin acetate,5 MG,2.879,20.000,,,,,,,,
J0638,Canakinumab injection,1 MG,156.541,18.336,,,,,,Inflation-adjusted coinsurance,,
J0640,Leucovorin calcium injection,50 MG,2.932,20.000,,,,,,,,
J0641,Inj levoleucovorin nos 0.5mg,0.5 MG,0.049,20.000,,,,,,,,
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,1.302,20.000,,,,,,,,
J0650,"Inj, levothyroxine nos 10mcg",10 MCG,5.096,20.000,,,,,,,,
J0651,"Inj, levothyroxine, freskabi",10 MCG,6.836,20.000,,,,,,,,
J0652,"Inj, levothyroxine, hikma",10 MCG,6.315,20.000,,,,,,,,
J0665,"Inj, bupivacaine, nos, 0.5mg",0.5 MG,0.011,20.000,,,,,,,,
J0666,"Inj, bupivacaine liposome",1 MG,1.454,20.000,,,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,4.147,20.000,,,,,,,,
J0681,Inj ceftobipole medocarl 3mg,3 MG,1.098,20.000,,,,,,Added July 2026,,
J0687,Inj cefazolin (wg crit care),500 MG,0.631,20.000,,,,,,,,
J0688,"Inj cefazolin sodium, hikma",500 MG,0.847,20.000,,,,,,,,
J0689,"Inj cefazolin sodium, baxter",500 MG,1.290,20.000,,,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.796,20.000,,,,,,,,
J0692,Cefepime hcl for injection,500 MG,1.296,20.000,,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,4.285,20.000,,,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),10.038,16.442,,,,,,Inflation-adjusted coinsurance,,
J0696,Ceftriaxone sodium injection,250 MG,0.404,20.000,,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.044,20.000,,,,,,,,
